1619,148.33999999999995
1685,14538.589999999951
1689,14538.589999999951
1651,14538.589999999951
1701,14538.589999999951
3670,14538.589999999951
1713,14538.589999999951
1718,14538.589999999951
1727,14538.589999999951
1728,14538.589999999951
1732,14538.589999999951
1738,14583.189999999951
1740,14538.589999999951
1742,14538.589999999951
1822,14538.589999999951
1824,14538.589999999951
1830,14538.589999999951
1832,14538.589999999951
1834,14538.589999999951
1842,14538.589999999951
1845,14538.589999999951
1847,14538.589999999951
1849,14555.38999999995
1869,ERROR PRODUCT OPTIONSERROR PRODUCT OPTIONS43223.8300000001
1880,28924.369999999843
1891,14538.589999999951
1896,14538.589999999951
1909,ERROR PRODUCT OPTIONSERROR PRODUCT OPTIONS43240.6300000001
1924,14538.589999999951
1928,14538.589999999951
1939,14555.38999999995
1942,14538.589999999951
1944,14538.589999999951
1946,14538.589999999951
1948,14538.589999999951
1953,14538.589999999951
1955,14538.589999999951
1957,14538.589999999951
1959,14538.589999999951
1962,14538.589999999951
1967,14538.589999999951
1968,14538.589999999951
1969,14538.589999999951
1972,14538.589999999951
1975,14538.589999999951
1978,14538.589999999951
1982,14538.589999999951
1984,14538.589999999951
1989,ERROR PRODUCT OPTIONSERROR PRODUCT OPTIONSERROR PRODUCT OPTIONSERROR PRODUCT OPTIONSERROR PRODUCT OPTIONS27994.92999999967
1993,14538.589999999951
1996,14538.589999999951
1997,14538.589999999951
2003,28948.64999999992
2007,14538.589999999951
2018,23496.18999999985
2020,14538.589999999951
2042,14521.20999999997
3914,14504.40999999997
2046,14538.589999999951
2056,14538.589999999951
2062,14538.589999999951
2071,14538.589999999951
2077,14555.38999999995
2078,ERROR PRODUCT OPTIONSERROR PRODUCT OPTIONSERROR PRODUCT OPTIONS14502.209999999963
3915,ERROR PRODUCT OPTIONSERROR PRODUCT OPTIONSERROR PRODUCT OPTIONS14502.209999999963
2081,ERROR PRODUCT OPTIONSERROR PRODUCT OPTIONSERROR PRODUCT OPTIONSERROR PRODUCT OPTIONS14758.569999999996
2084,14538.589999999951
2086,14538.589999999951
2089,14538.589999999951
2094,14538.589999999951
2100,14527.289999999952
2102,14538.589999999951
